community_area	total_311_calls	Graffiti_Removal_Request	Street_Light_Out_Complaint	Weed_Removal_Request	Pothole_in_Street_Complaint	Aircraft_Noise_Complaint	Rodent_Baiting/Rat_Complaint	Tree_Trim_Request	Sign_Repair_Request_-_All_Other_Signs	Alley_Light_Out_Complaint	Traffic_Signal_Out_Complaint	Tree_Removal_Request	Building_Violation	Tree_Debris_Clean-Up_Request	Snow_-_Uncleared_Sidewalk/Bike_Lane_Complaint
1	6103	697	502	3	524	72	401	412	268	305	173	264	336	145	136
2	9845	670	813	3	1014	2	810	603	344	273	394	356	280	353	79
3	5921	1109	586	11	325	31	316	195	237	82	222	136	275	75	355
4	7389	1932	555	7	408	12	484	359	278	134	242	217	121	127	210
5	8375	2534	933	14	556	28	414	394	286	201	219	174	109	114	131
6	12788	2812	938	16	799	37	1311	621	516	251	489	309	337	156	632
7	9154	1307	904	18	1018	42	632	423	429	177	331	207	228	110	378
8	8173	960	677	37	1022	57	284	157	922	66	625	93	221	18	208
9	5220	52	250	1	373	2976	18	147	80	107	29	143	27	104	22
10	8941	201	1104	42	894	592	311	586	303	364	210	405	80	433	97
11	5533	210	601	40	726	121	412	375	166	232	160	194	80	127	36
12	7749	159	572	19	724	2739	234	321	194	131	140	223	39	300	33
13	4007	228	330	17	367	822	132	117	101	101	168	111	72	94	39
14	7029	1213	481	15	625	131	417	359	249	274	106	193	173	148	102
15	13860	707	1282	46	1034	1860	897	836	427	617	327	536	285	265	181
16	12698	1696	1194	35	1295	897	932	497	406	340	235	226	214	225	317
17	8273	239	986	29	846	16	385	512	283	372	198	469	177	232	43
18	2486	128	293	17	224	0	169	175	44	89	57	90	52	52	28
19	12138	1523	942	41	1164	2	880	884	459	544	257	324	259	132	80
20	3501	456	285	5	315	0	171	284	126	123	36	82	101	42	49
21	8152	2239	862	25	456	2	550	352	267	320	269	123	189	76	133
22	15897	4179	1316	50	1057	6	1189	559	610	378	393	310	346	163	383
23	12008	1057	869	2128	553	15	739	480	372	212	176	405	355	190	116
24	18543	4111	1634	112	1387	9	1369	746	741	391	484	318	331	170	586
25	19233	346	1536	2707	1263	47	863	848	478	665	363	622	752	727	58
26	5629	142	375	1755	238	0	215	172	175	77	89	170	204	130	4
27	6283	252	407	1935	327	1	292	222	149	54	158	122	174	117	49
28	14071	1590	1052	749	1461	1754	385	333	725	175	1055	239	251	67	298
29	12911	356	747	5756	529	0	552	317	321	140	212	198	392	160	47
30	13076	3599	843	313	948	1	1153	348	453	217	207	260	394	153	50
31	9665	3203	747	63	982	6	195	301	876	174	273	96	197	46	99
